,,time,Unnamed: 0,time.4,time.3,time.2,time.1,5.03 BN – Nordbrücke (Südseite),5.04 BN – Nordbrücke (Nordseite),5.05 BN - Südbrücke (Südseite),5.06 BN – Südbrücke (Nordseite),5.07 BN - Estermannufer,5.10 BN – Bröhltalweg,5.11 BN - Brühler Straße,5.08 BN - Von-Sandt-Ufer,5.09 BN - Rhenusallee,5.01 BN – Kennedybrücke (Nordseite),5.02 BN - Kennedybrücke (Südseite) Barometer,Kennedybrücke,5.14 BN - Mc Cloy Weg,5.15 BN - Weg auf Damm Neil,5.13 BN - Wilhelm-Spiritus-Ufer,Südbrücke,Nordbrücke
0,0,0,0,0,0,0,01.01.2019 00:00,2,0,2,1,0,0,1,0,0,2,3,5,2,1,4,3,2
1,1,1,1,1,1,1,01.01.2019 00:15,0,3,7,0,1,0,0,1,2,10,3,13,0,1,2,7,3
2,2,2,2,2,2,2,01.01.2019 00:30,1,0,2,1,0,0,3,4,2,4,12,16,1,0,4,3,1
3,3,3,3,3,3,3,01.01.2019 00:45,1,6,4,1,0,0,4,1,0,5,9,14,0,0,7,5,7
4,4,4,4,4,4,4,01.01.2019 01:00,0,0,0,0,0,0,0,2,1,11,16,27,0,1,0,0,0
5,5,5,5,5,5,5,01.01.2019 01:15,0,0,5,9,0,0,2,0,5,15,15,30,0,3,3,14,0
6,6,6,6,6,6,6,01.01.2019 01:30,0,0,3,1,5,0,1,1,1,15,12,27,0,0,2,4,0
7,7,7,7,7,7,7,01.01.2019 01:45,5,0,2,1,0,0,2,0,0,19,14,33,0,1,0,3,5
8,8,8,8,8,8,8,01.01.2019 02:00,2,0,1,2,0,0,4,2,0,20,16,36,1,1,4,3,2
9,9,9,9,9,9,9,01.01.2019 02:15,5,0,0,4,0,0,6,1,6,16,18,34,0,5,3,4,5
10,10,10,10,10,10,10,01.01.2019 02:30,3,2,3,3,0,0,0,0,1,10,11,21,1,5,3,6,5
11,11,11,11,11,11,11,01.01.2019 02:45,1,0,3,1,0,0,2,1,2,19,5,24,0,1,1,4,1
12,12,12,12,12,12,12,01.01.2019 03:00,0,0,3,0,0,0,3,0,2,8,22,30,0,4,2,3,0
13,13,13,13,13,13,13,01.01.2019 03:15,0,0,0,0,0,0,3,1,3,7,10,17,0,1,0,0,0
14,14,14,14,14,14,14,01.01.2019 03:30,1,1,1,1,0,0,3,0,2,15,17,32,0,2,2,2,2
15,15,15,15,15,15,15,01.01.2019 03:45,0,0,1,1,0,0,3,1,1,11,5,16,0,1,0,2,0
16,16,16,16,16,16,16,01.01.2019 04:00,0,0,2,1,0,0,0,0,1,5,13,18,1,0,7,3,0
17,17,17,17,17,17,17,01.01.2019 04:15,0,0,1,0,0,0,1,3,1,8,11,19,1,2,1,1,0
18,18,18,18,18,18,18,01.01.2019 04:30,0,0,2,0,0,0,0,1,0,4,9,13,0,1,4,2,0
19,19,19,19,19,19,19,01.01.2019 04:45,0,0,0,1,0,0,2,0,1,4,8,12,0,0,1,1,0
20,20,20,20,20,20,20,01.01.2019 05:00,0,0,3,0,0,0,2,0,0,3,2,5,0,0,1,3,0
21,21,21,21,21,21,21,01.01.2019 05:15,0,0,0,0,0,1,1,0,0,4,6,10,1,0,0,0,0
22,22,22,22,22,22,22,01.01.2019 05:30,0,1,0,0,0,0,0,1,0,1,4,5,0,0,1,0,1
23,23,23,23,23,23,23,01.01.2019 05:45,1,0,1,0,1,0,0,0,1,2,4,6,0,0,1,1,1
24,24,24,24,24,24,24,01.01.2019 06:00,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0
25,25,25,25,25,25,25,01.01.2019 06:15,1,1,0,0,0,0,0,0,1,2,2,4,0,1,0,0,2
26,26,26,26,26,26,26,01.01.2019 06:30,0,0,0,0,1,0,0,0,0,3,2,5,0,0,1,0,0
27,27,27,27,27,27,27,01.01.2019 06:45,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0
28,28,28,28,28,28,28,01.01.2019 07:00,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0
29,29,29,29,29,29,29,01.01.2019 07:15,0,0,1,0,0,0,1,3,0,1,1,2,0,0,0,1,0
30,30,30,30,30,30,30,01.01.2019 07:30,0,0,0,1,0,0,1,0,0,1,2,3,0,0,0,1,0
31,31,31,31,31,31,31,01.01.2019 07:45,0,0,1,1,0,0,2,0,0,2,0,2,0,0,0,2,0
32,32,32,32,32,32,32,01.01.2019 08:00,0,0,0,1,0,0,0,0,1,0,2,2,1,0,1,1,0
33,33,33,33,33,33,33,01.01.2019 08:15,0,0,0,0,0,0,2,0,2,0,5,5,0,0,1,0,0
34,34,34,34,34,34,34,01.01.2019 08:30,0,0,0,2,0,0,2,0,2,0,1,1,0,1,3,2,0
35,35,35,35,35,35,35,01.01.2019 08:45,0,0,1,1,2,0,1,0,3,3,2,5,1,1,3,2,0
36,36,36,36,36,36,36,01.01.2019 09:00,2,1,1,1,0,2,1,5,0,7,2,9,1,1,1,2,3
37,37,37,37,37,37,37,01.01.2019 09:15,0,2,0,1,1,0,2,0,2,2,5,7,3,2,5,1,2
38,38,38,38,38,38,38,01.01.2019 09:30,1,1,1,0,1,0,0,3,1,3,8,11,1,0,0,1,2
39,39,39,39,39,39,39,01.01.2019 09:45,0,0,2,2,1,1,2,2,1,8,3,11,3,1,3,4,0
40,40,40,40,40,40,40,01.01.2019 10:00,1,0,0,2,3,1,0,3,3,1,2,3,1,4,0,2,1
41,41,41,41,41,41,41,01.01.2019 10:15,3,0,1,0,0,0,4,2,2,1,5,6,2,0,3,1,3
42,42,42,42,42,42,42,01.01.2019 10:30,1,2,0,1,0,1,3,7,6,6,7,13,5,4,4,1,3
43,43,43,43,43,43,43,01.01.2019 10:45,1,3,3,1,0,1,3,6,8,6,8,14,10,4,3,4,4
44,44,44,44,44,44,44,01.01.2019 11:00,0,0,1,2,1,1,2,9,6,11,4,15,2,6,5,3,0
45,45,45,45,45,45,45,01.01.2019 11:15,2,2,5,1,1,3,4,9,10,4,12,16,12,8,18,6,4
46,46,46,46,46,46,46,01.01.2019 11:30,4,0,5,5,1,1,0,10,13,8,7,15,2,7,6,10,4
47,47,47,47,47,47,47,01.01.2019 11:45,2,0,3,5,1,3,2,5,14,7,5,12,4,7,10,8,2
48,48,48,48,48,48,48,01.01.2019 12:00,4,0,3,1,4,4,1,3,9,10,15,25,4,9,5,4,4
49,49,49,49,49,49,49,01.01.2019 12:15,3,1,2,7,2,3,1,11,10,3,5,8,1,12,3,9,4
50,50,50,50,50,50,50,01.01.2019 12:30,2,3,3,2,3,0,4,3,11,13,4,17,3,6,6,5,5
51,51,51,51,51,51,51,01.01.2019 12:45,0,0,1,5,3,1,2,9,2,1,9,10,6,4,5,6,0
52,52,52,52,52,52,52,01.01.2019 13:00,2,4,2,6,1,3,4,4,4,4,12,16,6,2,10,8,6
53,53,53,53,53,53,53,01.01.2019 13:15,3,0,3,1,2,2,2,6,7,7,12,19,5,6,3,4,3
54,54,54,54,54,54,54,01.01.2019 13:30,1,3,3,1,1,3,2,4,5,7,13,20,4,2,2,4,4
55,55,55,55,55,55,55,01.01.2019 13:45,2,2,2,3,2,2,2,4,7,10,13,23,4,4,1,5,4
56,56,56,56,56,56,56,01.01.2019 14:00,2,0,4,2,2,8,4,3,6,9,10,19,0,3,7,6,2
57,57,57,57,57,57,57,01.01.2019 14:15,3,1,2,3,0,2,3,3,3,10,21,31,6,3,10,5,4
58,58,58,58,58,58,58,01.01.2019 14:30,1,1,5,2,0,12,2,15,6,2,14,16,0,7,6,7,2
59,59,59,59,59,59,59,01.01.2019 14:45,1,2,4,5,2,5,1,3,0,7,15,22,3,0,8,9,3
60,60,60,60,60,60,60,01.01.2019 15:00,2,0,5,1,6,3,1,5,0,3,14,17,5,0,14,6,2
61,61,61,61,61,61,61,01.01.2019 15:15,11,1,2,12,1,0,0,6,14,13,10,23,4,5,6,14,12
62,62,62,62,62,62,62,01.01.2019 15:30,3,1,3,5,2,0,3,3,13,5,9,14,2,3,7,8,4
63,63,63,63,63,63,63,01.01.2019 15:45,3,3,2,1,1,1,2,5,5,11,15,26,1,7,6,3,6
64,64,64,64,64,64,64,01.01.2019 16:00,10,1,2,1,5,0,0,7,5,10,9,19,4,4,8,3,11
65,65,65,65,65,65,65,01.01.2019 16:15,2,3,5,0,0,5,2,3,5,5,7,12,4,4,8,5,5
66,66,66,66,66,66,66,01.01.2019 16:30,3,2,2,4,0,0,1,3,6,15,9,24,3,2,7,6,5
67,67,67,67,67,67,67,01.01.2019 16:45,4,1,1,5,4,2,2,4,3,6,12,18,2,6,6,6,5
68,68,68,68,68,68,68,01.01.2019 17:00,2,1,4,7,0,3,0,4,7,7,12,19,7,5,5,11,3
69,69,69,69,69,69,69,01.01.2019 17:15,12,0,4,1,0,2,1,9,1,9,13,22,3,5,5,5,12
70,70,70,70,70,70,70,01.01.2019 17:30,2,0,3,2,0,0,0,3,5,10,10,20,6,3,7,5,2
71,71,71,71,71,71,71,01.01.2019 17:45,3,0,3,1,1,2,4,1,3,6,18,24,1,11,5,4,3
72,72,72,72,72,72,72,01.01.2019 18:00,1,1,6,0,0,0,2,4,5,3,11,14,0,1,7,6,2
73,73,73,73,73,73,73,01.01.2019 18:15,1,0,2,3,1,1,0,2,3,8,13,21,4,2,4,5,1
74,74,74,74,74,74,74,01.01.2019 18:30,1,1,1,3,1,1,1,3,5,10,10,20,1,3,6,4,2
75,75,75,75,75,75,75,01.01.2019 18:45,3,0,2,0,0,2,2,2,0,6,21,27,1,0,1,2,3
76,76,76,76,76,76,76,01.01.2019 19:00,1,0,1,2,0,0,2,2,1,7,11,18,1,0,4,3,1
77,77,77,77,77,77,77,01.01.2019 19:15,0,0,0,1,1,0,0,2,2,3,10,13,0,2,2,1,0
78,78,78,78,78,78,78,01.01.2019 19:30,0,0,0,1,0,0,0,0,2,6,14,20,2,0,3,1,0
79,79,79,79,79,79,79,01.01.2019 19:45,1,1,2,0,0,1,2,1,0,8,10,18,0,0,2,2,2
80,80,80,80,80,80,80,01.01.2019 20:00,1,0,3,0,0,0,0,0,3,3,13,16,0,3,0,3,1
81,81,81,81,81,81,81,01.01.2019 20:15,0,0,3,0,0,0,3,1,2,2,6,8,1,0,2,3,0
82,82,82,82,82,82,82,01.01.2019 20:30,0,0,0,0,1,1,0,1,0,3,7,10,0,2,1,0,0
83,83,83,83,83,83,83,01.01.2019 20:45,0,1,5,1,0,0,0,0,0,8,7,15,0,1,1,6,1
84,84,84,84,84,84,84,01.01.2019 21:00,0,0,1,0,0,1,2,1,0,9,8,17,0,0,2,1,0
85,85,85,85,85,85,85,01.01.2019 21:15,0,0,0,4,0,0,2,0,1,1,9,10,2,0,2,4,0
86,86,86,86,86,86,86,01.01.2019 21:30,0,0,0,0,0,0,1,0,0,7,7,14,1,0,1,0,0
87,87,87,87,87,87,87,01.01.2019 21:45,0,0,3,1,0,0,1,0,2,4,0,4,0,0,1,4,0
88,88,88,88,88,88,88,01.01.2019 22:00,0,0,1,0,0,0,0,0,0,4,4,8,0,0,1,1,0
89,89,89,89,89,89,89,01.01.2019 22:15,2,0,0,0,0,0,4,0,0,7,4,11,0,0,0,0,2
90,90,90,90,90,90,90,01.01.2019 22:30,1,0,0,0,0,1,2,0,1,4,3,7,0,0,1,0,1
91,91,91,91,91,91,91,01.01.2019 22:45,0,0,0,0,0,1,1,0,0,1,4,5,0,1,1,0,0
92,92,92,92,92,92,92,01.01.2019 23:00,0,0,0,0,0,0,1,0,0,2,2,4,0,0,1,0,0
93,93,93,93,93,93,93,01.01.2019 23:15,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,0
94,94,94,94,94,94,94,01.01.2019 23:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,95,95,95,95,95,95,01.01.2019 23:45,0,1,1,0,0,0,0,1,0,0,4,4,0,0,0,1,1
96,96,96,96,96,96,96,02.01.2019 00:00,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0
97,97,97,97,97,97,97,02.01.2019 00:15,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
98,98,98,98,98,98,98,02.01.2019 00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,99,99,99,99,99,02.01.2019 00:45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
100,100,100,100,100,100,100,02.01.2019 01:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,101,101,101,101,101,101,02.01.2019 01:15,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
102,102,102,102,102,102,102,02.01.2019 01:30,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
103,103,103,103,103,103,103,02.01.2019 01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,104,104,104,104,104,02.01.2019 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,105,105,105,105,105,105,02.01.2019 02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,106,106,106,106,106,02.01.2019 02:30,0,0,0,1,0,1,0,0,0,3,2,5,0,0,0,1,0
107,107,107,107,107,107,107,02.01.2019 02:45,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0
108,108,108,108,108,108,108,02.01.2019 03:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
109,109,109,109,109,109,109,02.01.2019 03:15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
110,110,110,110,110,110,110,02.01.2019 03:30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,111,111,111,111,111,111,02.01.2019 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,112,112,112,112,112,02.01.2019 04:00,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
113,113,113,113,113,113,113,02.01.2019 04:15,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0
114,114,114,114,114,114,114,02.01.2019 04:30,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0
115,115,115,115,115,115,115,02.01.2019 04:45,1,1,1,0,0,0,1,0,0,0,2,2,0,0,0,1,2
116,116,116,116,116,116,116,02.01.2019 05:00,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1
117,117,117,117,117,117,117,02.01.2019 05:15,0,6,2,0,0,1,2,1,2,3,5,8,1,0,0,2,6
118,118,118,118,118,118,118,02.01.2019 05:30,0,1,3,1,0,0,1,1,0,4,12,16,0,0,3,4,1
119,119,119,119,119,119,119,02.01.2019 05:45,1,2,8,0,0,0,7,1,1,8,10,18,1,1,2,8,3
120,120,120,120,120,120,120,02.01.2019 06:00,1,2,6,3,1,1,3,1,4,5,10,15,1,0,4,9,3
121,121,121,121,121,121,121,02.01.2019 06:15,5,4,13,2,2,1,4,2,2,18,21,39,3,1,4,15,9
122,122,122,122,122,122,122,02.01.2019 06:30,4,8,12,9,4,2,5,6,2,17,14,31,4,5,12,21,12
123,123,123,123,123,123,123,02.01.2019 06:45,5,2,13,3,8,0,10,13,11,23,25,48,9,6,12,16,7
124,124,124,124,124,124,124,02.01.2019 07:00,1,5,13,8,4,2,6,6,8,26,22,48,2,5,14,21,6
125,125,125,125,125,125,125,02.01.2019 07:15,4,1,24,10,3,4,10,4,14,37,28,65,5,12,18,34,5
126,126,126,126,126,126,126,02.01.2019 07:30,10,2,26,20,5,4,13,9,13,42,43,85,4,12,34,46,12
127,127,127,127,127,127,127,02.01.2019 07:45,4,9,32,20,4,7,10,16,23,36,54,90,5,16,33,52,13
128,128,128,128,128,128,128,02.01.2019 08:00,6,9,27,25,3,5,12,16,11,30,31,61,8,7,21,52,15
129,129,129,129,129,129,129,02.01.2019 08:15,4,6,27,31,8,9,9,19,24,57,42,99,5,14,34,58,10
130,130,130,130,130,130,130,02.01.2019 08:30,7,3,29,30,3,10,11,18,24,50,40,90,6,20,56,59,10
131,131,131,131,131,131,131,02.01.2019 08:45,5,5,23,28,2,4,9,16,29,42,52,94,4,16,47,51,10
132,132,132,132,132,132,132,02.01.2019 09:00,6,2,20,21,0,2,5,14,13,32,33,65,4,11,22,41,8
133,133,133,133,133,133,133,02.01.2019 09:15,2,1,9,19,6,8,4,10,17,20,33,53,3,16,12,28,3
134,134,134,134,134,134,134,02.01.2019 09:30,4,4,10,7,2,5,4,6,11,25,28,53,3,13,21,17,8
135,135,135,135,135,135,135,02.01.2019 09:45,5,2,6,10,1,4,6,7,15,27,21,48,0,7,14,16,7
136,136,136,136,136,136,136,02.01.2019 10:00,3,1,4,9,1,2,5,4,3,15,28,43,5,3,11,13,4
137,137,137,137,137,137,137,02.01.2019 10:15,3,0,2,8,1,3,3,3,5,18,31,49,2,6,12,10,3
138,138,138,138,138,138,138,02.01.2019 10:30,2,1,2,5,3,5,7,4,7,31,29,60,2,5,13,7,3
139,139,139,139,139,139,139,02.01.2019 10:45,3,1,4,7,2,3,9,4,9,14,31,45,2,5,8,11,4
140,140,140,140,140,140,140,02.01.2019 11:00,2,3,2,6,1,4,4,11,8,21,36,57,8,13,9,8,5
141,141,141,141,141,141,141,02.01.2019 11:15,2,1,4,4,6,7,6,6,4,22,26,48,6,1,7,8,3
142,142,142,142,142,142,142,02.01.2019 11:30,2,1,4,5,0,4,10,9,9,20,30,50,3,13,8,9,3
143,143,143,143,143,143,143,02.01.2019 11:45,1,5,9,6,2,9,7,7,9,21,32,53,5,13,11,15,6
144,144,144,144,144,144,144,02.01.2019 12:00,0,0,3,3,3,1,7,7,5,21,28,49,6,4,17,6,0
145,145,145,145,145,145,145,02.01.2019 12:15,1,1,4,12,4,10,11,20,12,29,44,73,6,14,20,16,2
146,146,146,146,146,146,146,02.01.2019 12:30,1,2,4,4,4,2,11,3,7,21,35,56,1,6,12,8,3
147,147,147,147,147,147,147,02.01.2019 12:45,0,2,9,10,1,2,10,5,14,24,37,61,3,15,26,19,2
148,148,148,148,148,148,148,02.01.2019 13:00,2,2,9,11,5,9,9,7,11,24,42,66,7,8,10,20,4
149,149,149,149,149,149,149,02.01.2019 13:15,5,1,8,9,4,6,5,14,15,21,41,62,5,15,21,17,6
150,150,150,150,150,150,150,02.01.2019 13:30,7,5,5,8,4,5,7,10,14,24,48,72,11,17,14,13,12
151,151,151,151,151,151,151,02.01.2019 13:45,5,2,14,13,4,9,10,5,14,23,40,63,9,18,18,27,7
152,152,152,152,152,152,152,02.01.2019 14:00,8,3,9,5,4,7,12,13,14,27,46,73,9,14,21,14,11
153,153,153,153,153,153,153,02.01.2019 14:15,2,0,12,8,0,11,4,15,25,29,35,64,11,20,11,20,2
154,154,154,154,154,154,154,02.01.2019 14:30,5,1,6,16,3,5,9,11,19,16,58,74,13,20,17,22,6
155,155,155,155,155,155,155,02.01.2019 14:45,3,8,9,10,6,7,8,12,13,19,51,70,12,12,12,19,11
156,156,156,156,156,156,156,02.01.2019 15:00,7,2,17,12,4,5,4,16,25,19,48,67,11,22,22,29,9
157,157,157,157,157,157,157,02.01.2019 15:15,10,1,21,16,2,7,9,7,18,19,57,76,11,27,24,37,11
158,158,158,158,158,158,158,02.01.2019 15:30,18,8,14,16,10,5,9,16,31,23,62,85,16,25,24,30,26
159,159,159,159,159,159,159,02.01.2019 15:45,7,6,13,9,8,12,15,26,29,37,71,108,8,42,22,22,13
160,160,160,160,160,160,160,02.01.2019 16:00,10,2,25,24,7,6,16,16,27,35,70,105,10,27,31,49,12
161,161,161,161,161,161,161,02.01.2019 16:15,17,2,30,19,11,3,20,16,35,37,85,122,19,36,33,49,19
162,162,162,162,162,162,162,02.01.2019 16:30,14,10,32,18,9,7,14,19,40,38,75,113,9,22,55,50,24
163,163,163,163,163,163,163,02.01.2019 16:45,11,9,23,31,8,6,9,19,21,29,80,109,16,21,33,54,20
164,164,164,164,164,164,164,02.01.2019 17:00,10,11,34,29,6,7,15,18,19,39,77,116,9,16,46,63,21
165,165,165,165,165,165,165,02.01.2019 17:15,12,1,18,25,5,8,23,11,27,40,75,115,7,21,43,43,13
166,166,166,166,166,166,166,02.01.2019 17:30,6,1,34,20,5,12,4,14,16,30,86,116,5,14,50,54,7
167,167,167,167,167,167,167,02.01.2019 17:45,4,6,18,17,2,5,11,12,24,38,67,105,8,19,24,35,10
168,168,168,168,168,168,168,02.01.2019 18:00,1,3,20,9,6,2,7,9,15,28,79,107,6,14,35,29,4
169,169,169,169,169,169,169,02.01.2019 18:15,4,6,14,13,6,7,10,10,16,33,81,114,6,17,30,27,10
170,170,170,170,170,170,170,02.01.2019 18:30,3,2,17,11,2,2,3,10,13,13,46,59,3,7,19,28,5
171,171,171,171,171,171,171,02.01.2019 18:45,1,1,13,7,3,0,7,3,9,27,46,73,4,8,14,20,2
172,172,172,172,172,172,172,02.01.2019 19:00,4,2,18,5,0,3,7,9,5,21,56,77,2,6,12,23,6
173,173,173,173,173,173,173,02.01.2019 19:15,2,1,9,8,0,1,4,1,7,21,35,56,1,8,8,17,3
174,174,174,174,174,174,174,02.01.2019 19:30,0,0,6,4,0,4,4,3,6,16,37,53,1,5,4,10,0
175,175,175,175,175,175,175,02.01.2019 19:45,5,3,5,2,2,2,3,6,2,18,36,54,0,1,11,7,8
176,176,176,176,176,176,176,02.01.2019 20:00,2,0,3,4,0,0,4,2,4,16,25,41,3,2,6,7,2
177,177,177,177,177,177,177,02.01.2019 20:15,2,0,0,4,1,0,3,1,4,12,25,37,2,2,5,4,2
178,178,178,178,178,178,178,02.01.2019 20:30,2,1,1,6,0,1,2,0,1,17,20,37,0,1,2,7,3
179,179,179,179,179,179,179,02.01.2019 20:45,2,1,4,4,0,2,5,0,1,15,23,38,0,0,9,8,3
180,180,180,180,180,180,180,02.01.2019 21:00,2,0,3,3,0,2,4,0,3,6,13,19,0,2,5,6,2
181,181,181,181,181,181,181,02.01.2019 21:15,0,1,5,4,0,1,6,5,2,5,13,18,0,3,1,9,1
182,182,182,182,182,182,182,02.01.2019 21:30,1,0,3,0,0,1,1,0,1,10,19,29,0,2,2,3,1
183,183,183,183,183,183,183,02.01.2019 21:45,1,0,6,3,0,1,1,0,1,5,9,14,1,1,3,9,1
184,184,184,184,184,184,184,02.01.2019 22:00,1,1,0,1,0,2,2,1,0,10,12,22,0,2,0,1,2
185,185,185,185,185,185,185,02.01.2019 22:15,1,0,2,0,0,2,3,1,1,5,7,12,3,4,2,2,1
186,186,186,186,186,186,186,02.01.2019 22:30,0,0,0,2,0,0,0,1,1,7,25,32,0,2,6,2,0
187,187,187,187,187,187,187,02.01.2019 22:45,0,0,0,2,0,0,1,0,0,10,16,26,0,0,1,2,0
188,188,188,188,188,188,188,02.01.2019 23:00,0,0,0,1,1,0,0,0,0,5,12,17,0,0,0,1,0
189,189,189,189,189,189,189,02.01.2019 23:15,1,0,0,0,0,1,1,0,0,6,12,18,0,0,0,0,1
190,190,190,190,190,190,190,02.01.2019 23:30,0,0,0,0,0,1,1,0,0,2,7,9,0,0,1,0,0
191,191,191,191,191,191,191,02.01.2019 23:45,0,0,0,0,0,0,0,2,0,5,1,6,0,0,0,0,0
192,192,192,192,192,192,192,03.01.2019 00:00,0,0,2,1,0,,2,0,0,4,4,8,0,0,0,3,0
193,193,193,193,193,193,193,03.01.2019 00:15,0,0,0,0,0,,2,0,0,3,3,6,0,1,0,0,0
194,194,194,194,194,194,194,03.01.2019 00:30,0,2,0,0,0,,2,0,0,1,2,3,0,0,0,0,2
195,195,195,195,195,195,195,03.01.2019 00:45,3,0,0,1,0,,0,0,1,1,2,3,0,0,0,1,3
196,196,196,196,196,196,196,03.01.2019 01:00,0,0,3,0,0,,0,1,0,4,1,5,0,1,0,3,0
197,197,197,197,197,197,197,03.01.2019 01:15,0,0,1,0,0,,0,0,0,1,3,4,0,0,0,1,0
198,198,198,198,198,198,198,03.01.2019 01:30,0,0,0,0,0,,0,0,0,1,6,7,0,0,0,0,0
199,199,199,199,199,199,199,03.01.2019 01:45,0,0,0,1,0,,0,0,1,1,2,3,0,0,1,1,0
200,200,200,200,200,200,200,03.01.2019 02:00,0,0,0,0,0,,0,1,0,0,2,2,0,0,0,0,0
201,201,201,201,201,201,201,03.01.2019 02:15,0,0,0,0,0,,0,0,0,0,2,2,1,0,0,0,0
202,202,202,202,202,202,202,03.01.2019 02:30,0,0,0,2,0,,0,0,0,1,1,2,0,0,0,2,0
203,203,203,203,203,203,203,03.01.2019 02:45,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
204,204,204,204,204,204,204,03.01.2019 03:00,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
205,205,205,205,205,205,205,03.01.2019 03:15,0,0,0,0,0,,1,0,0,1,3,4,0,0,0,0,0
206,206,206,206,206,206,206,03.01.2019 03:30,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
207,207,207,207,207,207,207,03.01.2019 03:45,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,0,0
208,208,208,208,208,208,208,03.01.2019 04:00,0,0,1,0,0,,0,0,0,0,1,1,0,0,0,1,0
209,209,209,209,209,209,209,03.01.2019 04:15,0,0,0,0,0,,1,0,0,2,2,4,0,0,0,0,0
210,210,210,210,210,210,210,03.01.2019 04:30,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,0,0
211,211,211,211,211,211,211,03.01.2019 04:45,1,0,0,0,0,,0,0,1,1,3,4,0,0,0,0,1
212,212,212,212,212,212,212,03.01.2019 05:00,1,4,0,0,0,,0,0,0,0,2,2,0,0,0,0,5
213,213,213,213,213,213,213,03.01.2019 05:15,0,2,0,1,0,,4,1,0,3,6,9,2,0,0,1,2
214,214,214,214,214,214,214,03.01.2019 05:30,1,2,4,0,0,,4,2,1,8,14,22,0,1,2,4,3
215,215,215,215,215,215,215,03.01.2019 05:45,0,3,5,4,0,,10,1,3,8,6,14,1,1,2,9,3
216,216,216,216,216,216,216,03.01.2019 06:00,2,0,10,3,0,,2,2,3,13,11,24,0,1,6,13,2
217,217,217,217,217,217,217,03.01.2019 06:15,5,5,13,4,3,,3,3,6,12,13,25,2,4,5,17,10
218,218,218,218,218,218,218,03.01.2019 06:30,9,7,15,7,5,,7,4,5,21,18,39,4,2,11,22,16
219,219,219,219,219,219,219,03.01.2019 06:45,4,5,14,5,4,,5,6,12,25,19,44,1,8,9,19,9
220,220,220,220,220,220,220,03.01.2019 07:00,5,2,13,11,6,,11,6,8,15,24,39,3,5,23,24,7
221,221,221,221,221,221,221,03.01.2019 07:15,5,1,21,9,2,,4,10,5,38,20,58,8,10,22,30,6
222,222,222,222,222,222,222,03.01.2019 07:30,9,1,12,21,9,,11,14,23,34,49,83,5,16,20,33,10
223,223,223,223,223,223,223,03.01.2019 07:45,4,7,24,15,4,,12,12,18,46,54,100,6,20,36,39,11
224,224,224,224,224,224,224,03.01.2019 08:00,6,6,24,17,3,,10,14,25,40,42,82,4,20,31,41,12
225,225,225,225,225,225,225,03.01.2019 08:15,8,3,38,29,5,,10,10,24,34,45,79,5,13,34,67,11
226,226,226,226,226,226,226,03.01.2019 08:30,7,4,41,28,4,,10,10,21,56,42,98,5,11,36,69,11
227,227,227,227,227,227,227,03.01.2019 08:45,4,3,20,21,4,,7,14,18,35,50,85,2,13,52,41,7
228,228,228,228,228,228,228,03.01.2019 09:00,2,2,15,18,3,,8,8,14,29,36,65,5,7,30,33,4
229,229,229,229,229,229,229,03.01.2019 09:15,4,2,13,19,0,,9,11,16,18,25,43,2,10,20,32,6
230,230,230,230,230,230,230,03.01.2019 09:30,0,1,9,13,2,,7,10,13,26,29,55,3,11,12,22,1
231,231,231,231,231,231,231,03.01.2019 09:45,5,2,5,3,2,,10,5,5,30,32,62,2,3,17,8,7
